gas,parameter_code,parameter_name,methodology_name,gpc_refno,year,formula_input_value,formula_input_units,formula_name,metadata,region,actor_id,datasource,rnk,methodology_id,formulainput_id
CH4,MCF,methane-correction-factor,wastewater-inside-industrial-calculator-activity,III.4.1,,0.9,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Latin America And Caribbean,JM,IPCC,1,a6c1fa15-4405-3900-b649-966c8c7aeae6,0d9116d6-7be2-4cfc-9b5b-725ecab52aab
CH4,MCF,methane-correction-factor,wastewater-inside-industrial-calculator-activity,III.4.1,,0.9,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Latin America And Caribbean,TT,IPCC,1,a6c1fa15-4405-3900-b649-966c8c7aeae6,f1e81d51-ff80-4248-989a-7d04b52b503f
CH4,MCF,methane-correction-factor,wastewater-inside-industrial-calculator-activity,III.4.3,,0.3,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-centralized-aerobic-treatment-plan-well-managed""}",world,world,IPCC,1,a6c1fa15-4405-3900-b649-966c8c7aeae6,40b95c6b-5e6c-4686-82f9-7d8d86d2a451
CH4,MCF,methane-correction-factor,wastewater-inside-industrial-calculator-activity,III.4.3,,0.9,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Africa,GH,IPCC,1,a6c1fa15-4405-3900-b649-966c8c7aeae6,c4209a82-695c-43ef-bb9c-6f1e2b93f52f
CH4,MCF,methane-correction-factor,wastewater-inside-industrial-calculator-activity,III.4.3,,0.9,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Africa,LS,IPCC,1,a6c1fa15-4405-3900-b649-966c8c7aeae6,86902f84-179e-4414-a212-8e9f20efdf43
CH4,MCF,methane-correction-factor,wastewater-inside-industrial-calculator-activity,III.4.3,,0.9,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Africa,LY,IPCC,1,a6c1fa15-4405-3900-b649-966c8c7aeae6,ae022443-11ca-4bda-9240-82459fc70e3f
CH4,MCF,methane-correction-factor,wastewater-inside-industrial-calculator-activity,III.4.3,,0.9,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Africa,ZM,IPCC,1,a6c1fa15-4405-3900-b649-966c8c7aeae6,b065ecea-2ecd-4c93-baea-dae81e605a2f
CH4,MCF,methane-correction-factor,wastewater-inside-industrial-calculator-activity,III.4.3,,0.9,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Asia,LK,IPCC,1,a6c1fa15-4405-3900-b649-966c8c7aeae6,2256fad9-60ac-4b3b-a293-4eccde099e85
CH4,MCF,methane-correction-factor,wastewater-inside-industrial-calculator-activity,III.4.3,,0.9,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Asia,MY,IPCC,1,a6c1fa15-4405-3900-b649-966c8c7aeae6,54317197-4dd2-4576-81a4-fdda42bc8501
CH4,MCF,methane-correction-factor,wastewater-outside-domestic-calculator-activity,III.4.2,,0.7,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Australia And New Zealand,NZ,IPCC,1,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,aa77dfcb-47c7-464b-aa91-4ff84e8dc3fd
CH4,MCF,methane-correction-factor,wastewater-outside-domestic-calculator-activity,III.4.2,,0.75,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Asia,AE,IPCC,1,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,baa0a619-c3f7-48a4-b81e-cfa8849bcf59
CH4,MCF,methane-correction-factor,wastewater-outside-domestic-calculator-activity,III.4.2,,0.75,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Asia,BD,IPCC,1,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,438e5372-92d3-4869-91ca-4b15448f7881
CH4,MCF,methane-correction-factor,wastewater-outside-domestic-calculator-activity,III.4.2,,0.75,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Asia,LB,IPCC,1,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,cf19ab25-87c6-4fa5-a67b-470aa2844d5a
CH4,MCF,methane-correction-factor,wastewater-outside-domestic-calculator-activity,III.4.2,,0.75,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Asia,SG,IPCC,1,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,e17e8a0e-f7ee-4cb2-8cdd-8cc09f66c7f2
CH4,MCF,methane-correction-factor,wastewater-outside-domestic-calculator-activity,III.4.2,,0.75,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Asia,VN,IPCC,1,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,9abe763f-4c45-4537-a55f-b2eacce9ded0
CH4,MCF,methane-correction-factor,wastewater-outside-domestic-calculator-activity,III.4.2,,0.8,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Africa,CM,IPCC,1,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,eb6dbf1c-9723-49e8-9113-2f974cd05722
CH4,MCF,methane-correction-factor,wastewater-outside-domestic-calculator-activity,III.4.2,,0.8,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Africa,SZ,IPCC,1,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,266a9cd7-f525-4ca0-b993-14666bda61a6
CH4,MCF,methane-correction-factor,wastewater-outside-domestic-calculator-activity,III.4.2,,0.8,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Africa,TZ,IPCC,1,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,483f0a3e-4066-4421-96cf-fb940af843ae
CH4,MCF,methane-correction-factor,wastewater-outside-domestic-calculator-activity,III.4.2,,0.8,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Latin America And Caribbean,BB,IPCC,1,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,7908063f-85be-4245-ae71-178343732283
CH4,MCF,methane-correction-factor,wastewater-outside-domestic-calculator-activity,III.4.2,,0.8,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Latin America And Caribbean,BZ,IPCC,1,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,aa4dcb90-4e5c-4064-89b2-359a53c0c9bf
CH4,MCF,methane-correction-factor,wastewater-outside-industrial-calculator-activity,III.4.2,,0.7,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",United States of America,US,IPCC,1,946471de-43e5-39f4-ae8a-befa344bfaee,cdadf043-722f-4756-9cd2-3e84d407f3fd
CH4,MCF,methane-correction-factor,wastewater-outside-industrial-calculator-activity,III.4.2,,0.9,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Africa,ER,IPCC,1,946471de-43e5-39f4-ae8a-befa344bfaee,e3558845-c4a9-4679-9e09-9d24c5b98ea5
CH4,MCF,methane-correction-factor,wastewater-outside-industrial-calculator-activity,III.4.2,,0.9,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Asia,BH,IPCC,1,946471de-43e5-39f4-ae8a-befa344bfaee,c123e024-2d12-4176-8f66-b0a4f1a82dc5
CH4,MCF,methane-correction-factor,wastewater-outside-industrial-calculator-activity,III.4.2,,0.9,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Asia,JP,IPCC,1,946471de-43e5-39f4-ae8a-befa344bfaee,98127477-39ae-4c07-abf5-c93bdd15943a
CH4,MCF,methane-correction-factor,wastewater-outside-industrial-calculator-activity,III.4.2,,0.9,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Asia,TL,IPCC,1,946471de-43e5-39f4-ae8a-befa344bfaee,dbc12f0e-ec5b-41f7-b421-ada352337134
CH4,MCF,methane-correction-factor,wastewater-outside-industrial-calculator-activity,III.4.2,,0.9,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Latin America And Caribbean,TT,IPCC,1,946471de-43e5-39f4-ae8a-befa344bfaee,534a11e5-cbe5-45c9-a6a2-b1b0cc3283ab
CH4,Wi,wastewater-generation,wastewater-inside-industrial-calculator-activity,III.4.1,,13.0,m3/tonne,industrial-wastewater,"{""industry_type"":""industry-type-fish-processing""}",world,world,IPCC,1,a6c1fa15-4405-3900-b649-966c8c7aeae6,cc166df3-4f18-4a43-b9e7-1fde9993bba0
CH4,BOD,degradable-organic-component,wastewater-inside-domestic-calculator-activity,III.4.1,94,13.505,g/person/day,domestic-wastewater,,Region: Africa,SC,IPCC,1,4025beed-cbe5-301d-8cd6-f706531cba42,34eb79e0-01b2-40b0-bf15-2a332a51c99a
CH4,BOD,degradable-organic-component,wastewater-inside-domestic-calculator-activity,III.4.1,14,37.0,g/person/day,domestic-wastewater,,Africa,BW,IPCC,1,4025beed-cbe5-301d-8cd6-f706531cba42,9a4f2be2-b9ca-42e3-9b03-829922f1a086
CH4,BOD,degradable-organic-component,wastewater-inside-domestic-calculator-activity,III.4.1,14,37.0,g/person/day,domestic-wastewater,,Africa,NE,IPCC,1,4025beed-cbe5-301d-8cd6-f706531cba42,11d24311-0e7d-4910-aebd-400af160b1c9
CH4,BOD,degradable-organic-component,wastewater-inside-domestic-calculator-activity,III.4.1,14,37.0,g/person/day,domestic-wastewater,,Africa,TZ,IPCC,1,4025beed-cbe5-301d-8cd6-f706531cba42,da0ad17a-ad75-47f6-be13-061739731a9a
CH4,BOD,degradable-organic-component,wastewater-inside-domestic-calculator-activity,III.4.1,,42.0,g/person/day,domestic-wastewater,,Greece,GR,IPCC,1,4025beed-cbe5-301d-8cd6-f706531cba42,b9a32262-958b-4e83-b381-898faa932b57
CH4,BOD,degradable-organic-component,wastewater-inside-domestic-calculator-activity,III.4.1,14,62.0,g/person/day,domestic-wastewater,,Germany,DE,IPCC,1,4025beed-cbe5-301d-8cd6-f706531cba42,6f24625c-efa9-4d48-93e4-199dcaac4a1a
CH4,BOD,degradable-organic-component,wastewater-inside-domestic-calculator-activity,III.4.3,94,13.505,g/person/day,domestic-wastewater,,Region: Africa,AO,IPCC,1,4025beed-cbe5-301d-8cd6-f706531cba42,5c299f0d-bccd-4708-bb03-9a548365b83b
CH4,BOD,degradable-organic-component,wastewater-inside-domestic-calculator-activity,III.4.3,94,13.505,g/person/day,domestic-wastewater,,Region: Africa,CG,IPCC,1,4025beed-cbe5-301d-8cd6-f706531cba42,92c71189-8b7a-4129-b2d3-dfa7f10cd002
CH4,BOD,degradable-organic-component,wastewater-inside-domestic-calculator-activity,III.4.3,94,13.505,g/person/day,domestic-wastewater,,Region: Africa,ML,IPCC,1,4025beed-cbe5-301d-8cd6-f706531cba42,faa0eb39-d0d7-473a-99c8-57b9c8c115b5
CH4,BOD,degradable-organic-component,wastewater-inside-domestic-calculator-activity,III.4.3,94,13.505,g/person/day,domestic-wastewater,,Region: Africa,TD,IPCC,1,4025beed-cbe5-301d-8cd6-f706531cba42,019898a2-ef23-4f17-8d1b-a4b322a9296e
CH4,BOD,degradable-organic-component,wastewater-inside-domestic-calculator-activity,III.4.3,14,37.0,g/person/day,domestic-wastewater,,Africa,BF,IPCC,1,4025beed-cbe5-301d-8cd6-f706531cba42,3912c5a6-cf01-4445-b4d3-4afeca9f55c5
